"","cntry","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"1","AT",6,9,10,5,5,5,5,8,6,4,6,8,8,7,3,5
"2","AT",6,6,4,1,0,5,5,9,2,5,7,10,10,6,5,9
"3","AT",7,5,8,4,4,7,5,10,6,5,6,5,8,9,9,8
"4","AT",5,6,9,3,3,4,4,7,4,4,6,5,2,6,6,5
"5","AT",6,8,8,5,5,6,8,9,6,7,8,9,9,10,10,10
"6","AT",3,5,7,5,5,4,6,8,4,2,3,3,7,5,6,6
"7","AT",9,9,9,7,6,7,7,8,6,6,8,6,7,6,8,7
"8","AT",6,7,8,3,2,5,6,8,6,5,8,9,9,7,5,5
"9","AT",8,8,10,8,8,4,8,8,7,8,7,8,9,5,0,0
"10","AT",6,8,8,6,6,6,8,8,6,6,6,6,6,6,6,6
"11","AT",6,9,9,3,3,8,7,5,6,4,9,8,8,10,8,6
"12","AT",6,4,4,9,9,8,8,8,9,10,7,8,8,5,5,5
"13","AT",3,5,7,0,0,2,4,8,6,0,0,7,8,6,3,2
"14","AT",7,9,9,8,7,5,7,3,6,4,8,8,3,5,6,3
"15","AT",2,6,7,2,2,3,3,9,6,2,7,0,7,8,10,7
"16","AT",7,9,9,6,6,4,4,10,2,0,7,7,5,8,5,5
"17","AT",2,4,5,5,5,4,4,6,5,4,4,4,7,5,5,5
"18","AT",7,7,8,8,8,7,7,8,8,8,8,9,10,6,4,4
"19","AT",4,4,6,6,6,5,5,8,7,7,7,5,8,6,6,5
"20","AT",4,5,5,2,2,2,2,5,3,2,3,4,6,3,4,3
"21","AT",3,2,2,2,2,0,1,9,2,0,1,2,3,1,1,1
"22","AT",5,5,8,4,4,5,7,8,6,5,6,6,6,6,6,5
"23","AT",0,5,7,0,0,0,4,8,2,0,3,7,9,5,7,4
"24","AT",5,7,8,4,2,5,6,8,6,5,8,8,9,6,5,5
"25","AT",2,6,8,0,2,4,5,8,6,0,2,9,8,5,0,0
"26","AT",5,8,7,3,2,3,5,7,7,6,7,7,7,5,4,4
"27","AT",2,4,3,1,2,1,0,7,6,2,3,6,7,5,5,7
"28","AT",0,6,6,0,0,6,6,8,7,0,0,8,8,7,2,4
"29","AT",5,9,9,3,3,4,5,8,5,6,5,4,7,8,8,7
"30","AT",8,7,7,8,7,3,3,8,8,8,9,8,9,5,4,5
"31","AT",5,6,7,4,4,5,6,7,5,4,4,5,7,5,5,4
"32","AT",4,8,8,5,5,5,5,8,5,0,4,6,5,8,8,8
"33","AT",8,9,9,5,5,9,8,8,9,7,9,7,7,7,5,3
"34","AT",5,5,7,5,5,5,5,10,3,3,5,8,5,7,3,3
"35","AT",7,6,7,5,3,5,8,8,4,3,8,8,3,8,5,5
"36","AT",4,6,8,4,3,3,3,7,4,4,5,9,7,8,3,4
"37","AT",0,8,8,1,1,0,0,8,4,0,0,5,3,4,0,0
"38","AT",9,10,9,8,9,10,10,9,7,9,9,10,9,9,9,9
"39","AT",8,8,8,5,4,5,5,8,6,6,8,5,8,5,7,5
"40","AT",5,6,7,2,2,3,5,7,6,4,6,5,3,6,3,4
"41","AT",5,5,7,3,4,5,7,8,4,4,5,4,6,6,7,5
"42","AT",4,7,7,2,2,4,3,8,4,4,4,6,7,5,5,5
"43","AT",6,7,7,5,6,6,6,4,5,4,9,7,9,6,6,6
"44","AT",4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
"45","AT",8,10,10,8,7,10,10,5,7,5,8,7,8,6,5,5
"46","AT",7,10,8,6,5,7,7,9,7,5,10,7,7,8,8,8
"47","AT",3,5,5,1,1,1,1,8,2,0,1,6,8,2,3,1
"48","AT",5,5,8,2,3,3,5,2,7,5,6,8,8,6,5,5
"49","AT",9,10,10,9,9,7,5,7,8,9,9,9,9,4,4,4
"50","AT",10,10,10,10,10,10,10,8,9,8,9,9,9,8,9,8
"51","AT",4,4,4,1,1,1,0,6,5,5,5,5,5,0,0,0
"52","AT",6,5,7,3,4,1,0,8,2,4,6,5,2,6,2,2
"53","AT",2,2,7,2,2,1,2,8,4,2,2,2,2,5,4,3
"54","AT",4,6,6,4,5,5,5,6,5,4,7,6,7,7,5,6
